Construct,Activator type,EPCAM_toxicity_score,CXCR4_toxicity_score,Toxicity_score_average
A04_A02,Bipartite,0.4004415090159249,0.2799933158953215,0.3402174124556232
A04_A03,Bipartite,-0.6542763458379403,-0.9330936782191104,-0.7936850120285253
A04_A04,Bipartite,-0.5201629551142756,0.1569144046720471,-0.18162427522111424
A04_A05,Bipartite,-0.1233570816668129,-0.6664873941825997,-0.3949222379247063
A04_A06,Bipartite,0.0920729580800225,0.1825817893308229,0.1373273737054227
A04_A07,Bipartite,-0.171073887711484,-0.4807175587202587,-0.32589572321587135
A04_A08,Bipartite,-0.2062715467540857,-0.2281992586616361,-0.2172354027078609
A04_A09,Bipartite,-0.2432337952745164,0.2791015168703662,0.017933860797924903
A04_A10,Bipartite,-0.6532317347887955,-0.5754911487860159,-0.6143614417874057
A04_A11,Bipartite,0.0653699417840946,0.0228997493019933,0.04413484554304395
A04_A12,Bipartite,-0.0014791294907172,0.1326746537468381,0.06559776212806044
A04_A13,Bipartite,-0.6048888672472794,-0.6169532675968689,-0.6109210674220742
A04_A14,Bipartite,0.0837702882851404,0.243766218073875,0.1637682531795077
A04_A15,Bipartite,1.048779093842323,1.0002493947128803,1.0245142442776016
A04_A16,Bipartite,0.1530734794107994,-0.4762973438694042,-0.1616119322293024
A04_A17,Bipartite,0.4788751551482469,0.0682220085850602,0.27354858186665354
A04_A18,Bipartite,-0.9946020496806603,-1.2143346833518591,-1.1044683665162598
A04_A19,Bipartite,-0.4382516325203969,-0.538879369000562,-0.48856550076047944
A04_A20,Bipartite,-0.0106345688392214,0.4105448845875241,0.19995515787415133
A04_A21,Bipartite,0.0505349690362774,-0.3786648101125341,-0.16406492053812835
A04_A22,Bipartite,0.3097750926021366,0.2310427419298173,0.27040891726597693
A04_A23,Bipartite,-0.4266935447759277,-0.6151841806794676,-0.5209388627276976
A04_A24,Bipartite,0.672926508356988,0.8458218386331939,0.759374173495091
A04_A25,Bipartite,-0.4884302512840174,-0.9588353624451128,-0.7236328068645651
A05_A01,Bipartite,0.5717146318161176,0.5394484724446958,0.5555815521304067
A05_A02,Bipartite,0.2410335209539017,0.5236326501971702,0.38233308557553597
A05_A03,Bipartite,-0.1641600312369422,0.2187269619596798,0.027283465361368803
A05_A04,Bipartite,0.0490215344675324,0.0262582594606967,0.03763989696411455
A05_A05,Bipartite,-0.0437714723421424,-0.290396530248614,-0.1670840012953782
A05_A06,Bipartite,-0.1697745075030814,0.2239913854771777,0.02710843898704815
A05_A07,Bipartite,0.2341123059486565,0.1717445533123228,0.20292842963048965
A05_A08,Bipartite,-0.4112416142245266,-0.2470164975400037,-0.32912905588226515
A05_A09,Bipartite,0.6695389451955541,0.5776365439255392,0.6235877445605467
A05_A10,Bipartite,-0.3439080388878366,-0.4514047093585401,-0.3976563741231883
A05_A11,Bipartite,-0.0292031659588828,0.3781920365534748,0.174494435297296
A05_A12,Bipartite,0.0646579298837522,-0.4495473357913024,-0.1924447029537751
A05_A13,Bipartite,0.5449106959451935,0.9650973007846956,0.7550039983649446
A05_A14,Bipartite,0.2189677928829665,0.4427071609384934,0.33083747691072996
A05_A15,Bipartite,0.6274077970238382,-0.4164859473815477,0.10546092482114525
A05_A16,Bipartite,-0.2202829562541419,-0.4403443627659281,-0.330313659510035
A05_A17,Bipartite,-0.3378943457634437,-0.4439377510761769,-0.3909160484198103
A05_A18,Bipartite,-0.6268181499911473,-0.5829572253762749,-0.604887687683711
A05_A19,Bipartite,-1.1468761076334095,-0.7913330951526678,-0.9691046013930387
A05_A20,Bipartite,-0.2340979602403908,-0.3146584044627156,-0.2743781823515532
A05_A21,Bipartite,-0.1681819029710974,-0.1536740191476822,-0.16092796105938978
A05_A22,Bipartite,-0.2082361326216414,-0.2446051893662378,-0.2264206609939396
A05_A23,Bipartite,-0.2041969504932046,-0.0956285652624663,-0.14991275787783545
A05_A24,Bipartite,0.954192726902802,0.76172563272575,0.857959179814276
A05_A25,Bipartite,-0.2407503351125834,0.0317856367322824,-0.1044823491901505
A06_A01,Bipartite,0.8897833544298999,0.7075961364375501,0.798689745433725
A06_A02,Bipartite,0.4889860350634151,0.2540305852984736,0.3715083101809443
A06_A03,Bipartite,0.3594802755686008,0.5811440420487016,0.4703121588086512
A06_A04,Bipartite,0.1851463514202445,0.3372702735307387,0.2612083124754916
A06_A05,Bipartite,0.2904563422473851,-0.1025064004192035,0.0939749709140908
A06_A06,Bipartite,0.3714231037226254,-0.1137431654386784,0.1288399691419735
A06_A07,Bipartite,0.4827212121079136,-0.0831617653887402,0.1997797233595867
A06_A08,Bipartite,-0.1315758244339827,-0.0985303074759686,-0.11505306595497564
A06_A09,Bipartite,0.345001431951888,0.3806429667331134,0.3628221993425007
A06_A10,Bipartite,-0.0895142630091841,-0.2906541620998653,-0.19008421255452468
A06_A11,Bipartite,0.3535395262498532,0.3526034219757312,0.35307147411279216
A06_A12,Bipartite,0.5559838218648787,0.3601297683986927,0.4580567951317857
A06_A13,Bipartite,0.1380016656017844,0.060805818211505,0.0994037419066447
A06_A14,Bipartite,0.4410808100077936,0.5684655207728707,0.5047731653903321
A06_A15,Bipartite,0.5855348278012156,-0.2338680529841284,0.1758333874085436
A06_A16,Bipartite,0.3030046658387081,0.0478651478900172,0.17543490686436267
A06_A17,Bipartite,0.4440149500043118,0.3395906072229126,0.39180277861361223
A06_A18,Bipartite,-0.8169058013657836,-0.6032496871453401,-0.7100777442555619
A06_A19,Bipartite,-0.2241579003422973,-0.0241540005272343,-0.1241559504347658
A06_A20,Bipartite,0.0063872955300591,0.5681024226956626,0.28724485911286085
A06_A21,Bipartite,-0.1890493721189658,-0.4131605019500424,-0.3011049370345041
A06_A22,Bipartite,0.2084567213548095,-0.7067289332305124,-0.24913610593785146
A06_A23,Bipartite,0.0416037304100606,0.207671055908005,0.1246373931590328
A06_A24,Bipartite,1.016144512426259,0.6092104759976309,0.8126774942119449
A06_A25,Bipartite,-0.2659610188287309,0.0520269965274232,-0.10696701115065385
A07_A01,Bipartite,-0.34590752540015,0.7894377497597471,0.22176511217979855
A07_A02,Bipartite,0.2812634752518495,0.268971807860197,0.27511764155602325
A07_A03,Bipartite,0.0745063842771164,0.2420011769151511,0.15825378059613376
A07_A04,Bipartite,0.1005683316379925,-0.3725530425122328,-0.13599235543712015
A07_A05,Bipartite,-0.047829600108095,0.1718689066268475,0.06201965325937625
A07_A06,Bipartite,-0.299616850271458,-0.4222257556120783,-0.36092130294176816
A07_A07,Bipartite,0.0283032591490065,-1.159940150493005,-0.5658184456719992
A07_A08,Bipartite,-0.4995559196273995,-0.4272996663525376,-0.4634277929899685
A07_A09,Bipartite,0.428497211840128,-0.2303599171659182,0.09906864733710491
A07_A10,Bipartite,-0.7431637307812549,-0.6169054117198917,-0.6800345712505733
A07_A11,Bipartite,0.6385225157850807,0.27728482557272,0.45790367067890037
A07_A12,Bipartite,0.174382710730343,0.4191918450389762,0.29678727788465964
A07_A13,Bipartite,0.068825131434678,-0.193325287118855,-0.0622500778420885
A07_A14,Bipartite,-0.4282118042825472,0.3087180058680226,-0.05974689920726228
A07_A15,Bipartite,0.5292408874537766,0.7254064869523684,0.6273236872030725
A07_A16,Bipartite,0.1716360305792351,0.0758666330301962,0.12375133180471565
A07_A17,Bipartite,0.4697460576953982,0.224338288538828,0.3470421731171131
A07_A18,Bipartite,-1.2108430463389717,-0.9161014665221924,-1.063472256430582
A07_A19,Bipartite,-0.4893355100728953,-0.2573788437246139,-0.3733571768987546
A07_A20,Bipartite,-0.5500736114736312,0.1556692853543247,-0.19720216305965327
A07_A21,Bipartite,-0.509971667808384,-0.5438788821276949,-0.5269252749680394
A07_A22,Bipartite,-0.4345445641895147,0.2554099645611905,-0.08956729981416212
A07_A23,Bipartite,-0.2113558701016079,-0.6866309876867701,-0.44899342889418903
A07_A24,Bipartite,0.7997319969526994,0.4054083159590343,0.6025701564558669
A07_A25,Bipartite,-0.6986759149043975,-0.937265407005,-0.8179706609546988
A08_A01,Bipartite,0.5017345410587352,0.0546471419884836,0.2781908415236094
A08_A02,Bipartite,0.4292723863151447,0.8170765558540966,0.6231744710846207
A08_A03,Bipartite,-0.185896317400938,-0.5636252727257195,-0.37476079506332877
A08_A04,Bipartite,-0.0119640400314081,-0.3988980584972287,-0.2054310492643184
A08_A05,Bipartite,-0.1881174199712791,0.340435869937252,0.07615922498298645
A08_A06,Bipartite,-0.0491047984750751,0.4302780796640567,0.1905866405944908
A08_A07,Bipartite,-0.2076329730927397,0.0210671809717232,-0.09328289606050826
A08_A08,Bipartite,-0.3675973117064056,-1.0259611666431077,-0.6967792391747566
A08_A09,Bipartite,0.5125518222610358,0.3216152945411488,0.4170835584010923
A08_A10,Bipartite,-0.6283632188446728,-0.6726476438570493,-0.6505054313508611
A08_A11,Bipartite,0.6226552284902105,0.4156642973310752,0.5191597629106428
A08_A12,Bipartite,0.3254362702149628,-0.0775072780026255,0.12396449610616865
A08_A13,Bipartite,0.4045487491900054,0.2087858325116184,0.3066672908508119
A08_A14,Bipartite,-0.3262687764045336,-0.0597250485900027,-0.19299691249726816
A08_A15,Bipartite,0.6996317039908565,0.2660860574286274,0.4828588807097419
A08_A16,Bipartite,-0.2938664878974307,-0.1434551403955853,-0.218660814146508
A08_A17,Bipartite,0.0113705313424566,-0.1500451895469883,-0.06933732910226585
A08_A18,Bipartite,-1.0397288578175174,-0.8257483926034402,-0.9327386252104788
A08_A19,Bipartite,-0.4036652727762521,-0.7383519146956912,-0.5710085937359717
A08_A20,Bipartite,-0.3863966120514263,0.0495470518951059,-0.1684247800781602
A08_A21,Bipartite,0.0101283916927482,0.2813086975535612,0.1457185446231547
A08_A22,Bipartite,-0.6783088190689643,-0.3020440187885324,-0.49017641892874836
A08_A23,Bipartite,-0.594447356235835,-0.6383661779435007,-0.6164067670896678
A08_A24,Bipartite,0.6483125631831433,-0.0598617794848906,0.2942253918491264
A08_A25,Bipartite,-0.8508198664540865,-0.860337115763861,-0.8555784911089737
A09_A01,Bipartite,0.7600895595949316,0.5378171890957487,0.6489533743453402
A09_A02,Bipartite,0.6617947072875867,0.5222358613701548,0.5920152843288707
A09_A03,Bipartite,0.4084662507390966,0.1746719013435144,0.2915690760413055
A09_A04,Bipartite,-0.6345337667760395,-0.1165015310493879,-0.37551764891271366
A09_A05,Bipartite,0.2287764849132383,0.2348317537322782,0.23180411932275824
A09_A06,Bipartite,-0.1562988181975067,-0.276800400888599,-0.21654960954305286
A09_A07,Bipartite,0.3229767432451257,-0.1492981386851994,0.08683930227996316
A09_A08,Bipartite,0.3003026897927842,0.6451453438187129,0.47272401680574855
A09_A09,Bipartite,0.1735057573346703,0.3895455506329399,0.2815256539838051
A09_A10,Bipartite,0.1245029343547982,-0.0280650848673454,0.048218924743726396
A09_A11,Bipartite,0.3752174246172008,0.3962767532318371,0.3857470889245189
A09_A12,Bipartite,0.794743515284995,0.7271912623907774,0.7609673888378862
A09_A13,Bipartite,0.0080042090321981,0.5052432021024655,0.25662370556733183
A09_A14,Bipartite,0.6419670337586512,0.1688510365620846,0.40540903516036786
A09_A15,Bipartite,1.0113447971700118,0.9278373773666528,0.9695910872683323
A09_A16,Bipartite,-0.0682630310794992,0.379688568074796,0.1557127684976484
A09_A17,Bipartite,0.611471620141208,0.9250481313400588,0.7682598757406334
A09_A18,Bipartite,0.1747819956972446,-0.0109181636034762,0.0819319160468842
A09_A19,Bipartite,0.1586946418194352,0.2242446694473741,0.19146965563340465
A09_A20,Bipartite,0.5461524968655744,0.6566357534009535,0.601394125133264
A09_A21,Bipartite,0.462293618998833,0.0889428749421384,0.2756182469704857
A09_A22,Bipartite,0.2982167951348693,-0.8695412475611394,-0.28566222621313503
A09_A23,Bipartite,-0.0522090628661194,0.1957877312350211,0.07178933418445085
A09_A24,Bipartite,1.076408032865347,0.5358952062712863,0.8061516195683166
A09_A25,Bipartite,0.2329921693360608,-0.2969934160081907,-0.032000623336064946
A10_A01,Bipartite,0.616682038411655,0.7134750183860318,0.6650785283988434
A10_A02,Bipartite,0.4830861851757085,0.432115700150828,0.45760094266326823
A10_A03,Bipartite,-0.3060236264897313,-0.3026846528444639,-0.30435413966709757
A10_A04,Bipartite,-0.1182318400234665,0.0179576911119793,-0.0501370744557436
A10_A05,Bipartite,-0.2281556060084595,0.0503914119886792,-0.08888209700989015
A10_A06,Bipartite,-0.2426414037525362,0.0995737725803991,-0.07153381558606856
A10_A07,Bipartite,-0.6811215627441868,-0.7788942984419848,-0.7300079305930858
A10_A08,Bipartite,-0.3805251053786694,-0.3486259646931318,-0.36457553503590057
A10_A09,Bipartite,0.3722602500043113,0.4193923260261148,0.395826288015213
A10_A10,Bipartite,-0.2874178320634234,-0.2358054513175609,-0.26161164169049217
