Domain,Hit on EPCAM,Hit on CXCR4,Hit on tdTomato,Hit on any,Paddle has strong hit,Paddle has medium hit,Strong hit true positive,Strong hit false positive,Strong hit true negative,Strong hit false negative,Medium hit true positive,Medium hit false positive,Medium hit true negative,Medium hit false negative
HS_TFEC_2,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_TGFI1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_TOX2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_TWST1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_YAP1,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_ZIC2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_ZMIZ1_1,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_ZMIZ1_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_ZN326,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_ZN516,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_ZN641,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_ZNF16,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_ZXDC,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HSV_BEL1,False,True,True,True,False,True,False,False,False,True,True,False,False,False
HTLV1_TAX_1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HV_VLTF2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
JCPV_LARGETANTIGEN,False,False,False,False,True,True,False,True,False,False,False,True,False,False
LAHV4_VP16x2,True,True,True,True,True,True,True,False,False,False,True,False,False,False
MCV1_MC103L,False,False,False,False,False,False,False,False,True,False,False,False,True,False
MCV1_MC104L,False,False,False,False,False,False,False,False,True,False,False,False,True,False
MM_CR3L4,False,False,False,False,True,True,False,True,False,False,False,True,False,False
MM_F120B,False,False,False,False,False,True,False,False,True,False,False,True,False,False
MM_SIX4,False,False,False,False,False,False,False,False,True,False,False,False,True,False
MM_UBIP1,False,False,False,False,False,True,False,False,True,False,False,True,False,False
MM_UBP1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
MMV_NS1,False,False,True,True,False,False,False,False,False,True,False,False,False,True
OVPV1_VE2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
PBV1_NS1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
RELA_TF65,False,False,False,False,True,True,False,True,False,False,False,True,False,False
RFHV_ORF50,True,False,True,True,True,True,True,False,False,False,True,False,False,False
RN_TFEC,False,False,False,False,False,False,False,False,True,False,False,False,True,False
SaHV1_VP16,True,True,True,True,True,True,True,False,False,False,True,False,False,False
SaHV1_VP64,False,False,False,False,True,True,False,True,False,False,False,True,False,False
SC_ARO80,False,False,False,False,True,True,False,True,False,False,False,True,False,False
SC_GAL4,False,False,False,False,True,True,False,True,False,False,False,True,False,False
SC_OAF3,False,False,False,False,True,True,False,True,False,False,False,True,False,False
SC_PDR1,False,False,False,False,True,True,False,True,False,False,False,True,False,False
SC_PIP2,True,False,False,True,True,True,True,False,False,False,True,False,False,False
SC_PUL4,False,False,False,False,True,True,False,True,False,False,False,True,False,False
SC_PUT3,False,False,False,False,True,True,False,True,False,False,False,True,False,False
SC_RDS1,False,False,False,False,True,True,False,True,False,False,False,True,False,False
SC_SEF1,False,False,False,False,True,True,False,True,False,False,False,True,False,False
SC_YJL206C,False,False,False,False,True,True,False,True,False,False,False,True,False,False
SC_YKL222C,False,False,False,False,True,True,False,True,False,False,False,True,False,False
SFV1_BEL1,True,True,True,True,False,True,False,False,False,True,True,False,False,False
SH_HSF1,True,False,False,True,True,True,True,False,False,False,True,False,False,False
SMVC_E1A,True,False,False,True,True,True,True,False,False,False,True,False,False,False
SuHV1_IE,False,False,False,False,False,False,False,False,True,False,False,False,True,False
TS_RPOD,False,False,False,False,True,True,False,True,False,False,False,True,False,False
VV_E3L,False,False,False,False,False,False,False,False,True,False,False,False,True,False
VV_VACFx2,False,False,False,False,True,True,False,True,False,False,False,True,False,False
VZV_ORF10,False,False,False,False,False,True,False,False,True,False,False,True,False,False
WDSV_CYCL,False,False,False,False,False,False,False,False,True,False,False,False,True,False
XL_TF65,False,False,False,False,False,False,False,False,True,False,False,False,True,False
XT_CR3L4,False,False,False,False,True,True,False,True,False,False,False,True,False,False
